trip_id, arrival_time, departure_time, stop_id, stop_sequence, pickup_type, drop_off_type, stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url, location_type, parent_station, 
2356515, 12:37:00, 12:37:00,   50830, 1, 0, 0,   50830, , "DIAMOND HILL (MCDONALDS)", ,   42.015852,  -71.471741, , , 0, 
2356515, 12:38:00, 12:38:00,   50290, 2, 0, 0,   50290, , "DIAMOND HILL AT DIAMOND HILL PLAZA", ,   42.015216,  -71.472045, , , 0, 
2356515, 12:41:00, 12:41:00,   50190, 3, 0, 0,   50190, , "WALNUT HILL (SAVERS)", ,   42.016790,  -71.477596, , , 0, 
2356515, 12:42:00, 12:42:00,   50195, 4, 0, 0,   50195, , "WALNUT HILL (SHAWS)", ,   42.016935,  -71.478893, , , 0, 
2356515, 12:43:00, 12:43:00,   50305, 5, 0, 0,   50305, , "DIAMOND HILL AT 1240 DIAMOND HILL", ,   42.015779,  -71.483534, , , 0, 
2356515, 12:44:00, 12:44:00,   50310, 6, 0, 0,   50310, , "DIAMOND HILL OPP CROWN COURT", ,   42.015797,  -71.484791, , , 0, 
2356515, 12:44:00, 12:44:00,   50315, 7, 0, 0,   50315, , "LINDEN FS DIAMOND HILL", ,   42.015479,  -71.487202, , , 0, 
2356515, 12:45:00, 12:45:00,   50320, 8, 0, 0,   50320, , "LINDEN NS FALL", ,   42.012879,  -71.488304, , , 0, 
2356515, 12:46:00, 12:46:00,   50325, 9, 0, 0,   50325, , "MORIN HEIGHTS OPP 263 MORIN HEIGHTS", ,   42.010680,  -71.487879, , , 0, 
2356515, 12:47:00, 12:47:00,   50330, 10, 0, 0,   50330, , "ROBINSON AT BLDG 16", ,   42.009112,  -71.489406, , , 0, 
2356515, 12:47:00, 12:47:00,   50335, 11, 0, 0,   50335, , "ELM NS COTE", ,   42.008121,  -71.491414, , , 0, 
2356515, 12:48:00, 12:48:00,   50340, 12, 0, 0,   50340, , "ELM FS HEBERT", ,   42.007905,  -71.492933, , , 0, 
2356515, 12:48:00, 12:48:00,   50350, 14, 0, 0,   50350, , "CASS OPP 219 CASS", ,   42.005533,  -71.494748, , , 0, 
2356515, 12:48:00, 12:48:00,   50345, 13, 0, 0,   50345, , "SWEET FS STANLEY", ,   42.007009,  -71.493716, , , 0, 
2356515, 12:49:00, 12:49:00,   50355, 15, 0, 0,   50355, , "CASS NS MAILLOUX", ,   42.005287,  -71.497039, , , 0, 
2356515, 12:50:00, 12:50:00,   50360, 16, 0, 0,   50360, , "CUMBERLAND NS LOCUST", ,   42.006490,  -71.500861, , , 0, 
2356515, 12:51:00, 12:51:00,   50370, 18, 0, 0,   50370, , "SOCIAL FS CUMBERLAND", ,   42.008804,  -71.504218, , , 0, 
2356515, 12:51:00, 12:51:00,   50365, 17, 0, 0,   50365, , "CUMBERLAND NS CLINTON", ,   42.007908,  -71.502568, , , 0, 
2356515, 12:52:00, 12:52:00,   50385, 20, 0, 0,   50385, , "SOCIAL NS POND", ,   42.007467,  -71.509765, , , 0, 
2356515, 12:52:00, 12:52:00,   50380, 19, 0, 0,   50380, , "SOCIAL AT BEAUCHEMIM LUMBER", ,   42.008158,  -71.507615, , , 0, 
